Clone_ID,Gene,Ensembl_Gene,UniGene,EntrezGene,GenBank Acc.,Ensembl* Chr,Start (bp),End (bp),Strand,Clone_ID
IMAGE:753234,ZFX,ENSG00000005889,Hs.336681,7543,AA406372,X,24077783,24144127,1,IMAGE:753234
IMAGE:430233,RHOBTB3,ENSG00000164292,Hs.445030,22836,AA010222,5,95092606,95157827,1,IMAGE:430233
IMAGE:270327,PIGS,ENSG00000087111,Hs.462550,94005,N33030,17,23904532,23922664,-1,IMAGE:270327
IMAGE:742792,ZPBP,ENSG00000042813|ENSG00000130821,Hs.388841,11055,CR743479,X,152606586,152615234,1,IMAGE:742792
IMAGE:81475,NOTCH3,ENSG00000074181,Hs.8546,4854,T63587,19,15131445,15172792,-1,IMAGE:81475
IMAGE:278657,,,Hs.597163,0,N62914,chr12,62471709,62472299,+,IMAGE:278657
IMAGE:839956,IGSF11,ENSG00000144847,Hs.112873,152404,AA489964,3,120102173,120347588,-1,IMAGE:839956
IMAGE:282019,,,Hs.596959,0,N48197,,,,,IMAGE:282019
IMAGE:591253,,,Hs.598473,0,AA160780,chr6,1811406,1811904,+,IMAGE:591253
IMAGE:366953,,, ,, ,,,,,IMAGE:366953
IMAGE:247276,,, ,, ,,,,,IMAGE:247276
IMAGE:282310,PPFIA1,ENSG00000131626,Hs.530749,8500,N49751,11,69794471,69908148,1,IMAGE:282310
IMAGE:21567,LOC730069,,Hs.657550,730069,BX089275,,,,,IMAGE:21567
IMAGE:786281,,, ,, ,,,,,IMAGE:786281
IMAGE:136862,TCTE3,ENSG00000184786,Hs.584808,6991,R36112,6,169882140,169893563,-1,IMAGE:136862
IMAGE:261518,TEX10,ENSG00000136891,Hs.494648,54881,H98630,9,102104193,102154996,-1,IMAGE:261518
IMAGE:366126,ZBTB5,ENSG00000168795,Hs.161276,9925,AA082406,9,37428111,37455396,-1,IMAGE:366126
IMAGE:610374,PTPLAD1,ENSG00000074696,Hs.512973,51495,AA171899,15,63609857,63657736,1,IMAGE:610374
IMAGE:80399,SFRS1,ENSG00000136450,Hs.68714,6426,T65786,17,53433283,53439706,-1,IMAGE:80399
IMAGE:810787,DNAJB1,ENSG00000132002,Hs.515210,3337,AA481022,19,14486582,14490201,-1,IMAGE:810787
IMAGE:66540,ZSCAN22,ENSG00000182318,Hs.388162,342945,T67012,19,63530197,63545504,1,IMAGE:66540
IMAGE:139217,MINA,ENSG00000080200,Hs.607776,84864,BX093929,3,99078509,99146500,1,IMAGE:139217
IMAGE:296754,C2orf60,ENSG00000162971,Hs.204619,129450,W04206,2,200501883,200528468,-1,IMAGE:296754
IMAGE:490387,MZF1,ENSG00000099326,Hs.399810,7593,AA120778,19,63765097,63776754,-1,IMAGE:490387
IMAGE:429470,SNX24,ENSG00000064652,Hs.483200,28966,AA007670,5,122209170,122372796,1,IMAGE:429470
IMAGE:66721,SERPINA7,ENSG00000123561,Hs.76838,6906,T64901,X,105163853,105169385,-1,IMAGE:66721
IMAGE:322067,,,Hs.702921,0,W37638,,,,,IMAGE:322067
IMAGE:257422,BST1,ENSG00000109743,Hs.169998,683,N39926,4,15313739,15343508,1,IMAGE:257422
IMAGE:32074,C1orf95,ENSG00000203685,Hs.592751,375057,BX106023,1,224803124,224856364,1,IMAGE:32074
IMAGE:73608,,,Hs.654774,0,T55704,,,,,IMAGE:73608
IMAGE:795555,ZCCHC6,ENSG00000083223,Hs.655162,79670,AA459801,9,88092468,88159189,-1,IMAGE:795555
IMAGE:32522,LOC285812,ENSG00000145990,Hs.593631,285812,BX089808,6,13466041,13595766,-1,IMAGE:32522
IMAGE:342283,,,Hs.660141,0,BX091006,,,,,IMAGE:342283
IMAGE:795334,CD209,ENSG00000090659,Hs.278694,30835,AA453203,19,7710882,7718406,-1,IMAGE:795334
